Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,Ingredients Final,Ingredients Join
Baso Tenggiri,"250 gr daging tenggiri--3 siung bawang putih--1 butir telur--3-5 sdm tepung sagu--daung bawang (yang buat mie pangsit)--garam, merica, gula, penyedap--air untuk merebus--","1) Siapkan semua bahan.
2) Cacah daging tenggiri dengan menggunakan garpu. Sisihkan.
3) Siapkan blender. Masukkan daging tenggiri yang sudah di cacah. Tambahkan bawang putih, merica, garam, gula, penyedap, dan telur. Blender sampai halus.
4) Iris kecil-kecil daun bawang.
5) Masukkan tepung sagu dan daun bawang ke dalam adonan daging.
6) Cicipi rasa. Tambahkan bumbu sesuai selera anda.
7) Didihkan air. Cetak bulat-bulat adonan ikan tenggiri.
8) Tunggu sampai mengapung. Tiriskan.
9) Baso daging siap disajikan.
10) Note: kuah bakso bisa anda buat sesuai selera. Tinggal tambahkan so'un, bawang goreng, atau pelengkap lain sesuai selera.
11) Selamat mencoba.",10,https://cookpad.com/id/resep/4023578-baso-tenggiri,ikan,baso tenggiri,7,"['daging tenggiri', 'bawang putih', 'telur', 'tepung sagu', 'daung bawang', 'garam', 'merica', 'gula', 'penyedap', 'air untuk']",11,"['daging_tenggiri', 'bawang_putih', 'telur', 'tepung_sagu', 'g_bawang', 'garam', 'merica', 'gula', 'penyedap']",daging_tenggiri bawang_putih telur tepung_sagu g_bawang garam merica gula penyedap
Cakalang Kuah Kuning,"1 ekor ikan cakalang ukuran sedang--6 siung bawang merah,--5 siung bawang putih--2 sdt ketumbar sangrai--3 cm  kunyit,--sesuai selera cabe rawit--1/2 sdt merica,--1/2 sachet penyedap bila suka--3 lbr  daun jeruk purut,--1 sdt garam,--2 lbr daun salam,--1 batang serai ambil putihnya memarkan--2 cm lengkuas memarkan--1/2 sdt gula pasir--","1) Bersihkan ikan cakalang dan potong"" lumuri garam n jeruk nipis diamkan 10 menit
2) Haluskan semua bahan, kecuali daun salam, daun jeruk, lengkus, serai,.
3) Panaskan minyak dan tumis bumbu halus, tambahkan daun salam, daun jeruk, serai,garam,gula pasir,penyedap rasa sesuai selera, lengkuas, hingga harum dan masukkan ikan cakalang yg telah d bersihkan n di lumuri garam,n jeruk..masak hingga matang
4) Setelah matang boleh tambahkan daun kemangi, cabe rawit,tomat sebagai hiasan",0,https://cookpad.com/id/resep/4023734-cakalang-kuah-kuning,ikan,cakalang kuah kuning,14,"['ekor ikan', 'bawang merah', 'bawang putih', 'ketumbar sangrai', 'cm kunyit', 'sesuai selera', 'merica', 'sachet penyedap', 'lbr daun', 'garam', 'lbr daun', 'serai ambil', 'cm lengkuas', 'gula pasir']",4,"['ikan', 'bawang_merah', 'bawang_putih', 'ketumbar', 'kunyit', 'merica', 'sachet_penyedap', 'lbr', 'garam', 'serai', 'lengkuas', 'gula_pasir']",ikan bawang_merah bawang_putih ketumbar kunyit merica sachet_penyedap lbr garam serai lengkuas gula_pasir
Ikan Kakap Palumara Sederhana,1 ekor ikan kakap uk. Sedang--secukupnya Bawang merah--secukupnya Bawang putih--1 ruas kunyit--secukupnya Asam jawa--secukupnya Air--,"1) Rebus air hingga mendidih
2) Masukkan irisan bawang merah, bawang putih dan kunyit (kalau ada blender bagus diblender) kalau saya di iris karena dikost suami g ada blender
3) Masukkan ikan yang sdah dipotong
4) Tunggu sampai ikannya setengah mateng. Kemudian masukkan garam, gula dan sedikit royco (pengganti micin) karena saya g make micin
5) Setelah semua dirasa pas rasanya.. tinggal dihidangkan.. saya g dihidang karena nanti mau digoreng lagi",0,https://cookpad.com/id/resep/4023550-ikan-kakap-palumara-sederhana,ikan,ikan kakap palumara,6,"['ekor ikan', 'secukupnya bawang', 'secukupnya bawang', 'kunyit', 'secukupnya asam', 'secukupnya air']",5,"['ikan', 'kunyit', 'asam']",ikan kunyit asam
Ikan Tuna Gulai Kuning,"1/4 kg ikan tuna--1 ruas ibu jari jahe, geprek--1 ruas ibu jari lengkuas, geprek--1 batang serei, geprek--1 lbr daun kunyit--2 lbr daun jeruk--2 lbr daun salam--2 bh cabe besar hijau, buang biji--15 bh cabe rawit--1 bh kentang, potong memanjang--1 ikat kecil kacang panjang, potong 5cm--1 bh asam kandis--Bumbum yang dihaluskan:--7 siung bawang merah--4 siung bawang putih--5 bh kemiri--1 ruas kunyit--1/4 sdt atau lbh merica bubuk--1/4 sdt atau lbh ketumbat bubuk--","1) Cuci bersih ikan tuna, lumuri jeruk nipis, 1/2 sdt cuka dan 1/2 sdt garam. Sisihkan
2) Haluskan bumbu. Lalu tumis hingga wangi, masukkan daun jeruk, salam dan daun kunyit. Masukkan jahe, sereh dan lengkuas
3) Tumis hingga agak mengering. Lalu tmbah air matang kira kira 700ml. Jika kurang bs ditambah.
4) Masukkan kentang dan kacang panjang. Masak smpe mendidih
5) Lalu masukkan santan. Beri gula garam dan penyedap hingga dapatkan rasa yang pas
6) Setelah mendidih masukkan ikan tuna dan asam kandis. Disusul cabe rawit dan cabe hijau besar. Aduk perlahan agar santan tidak pecah.. namun jgn terlalu sering
7) Setelah mendidih dan ikan matang, cicip kembali rasa. Jika sudah pas asin gurih dan sdikit asam, Matikan api dan ikan tuna gulai siap dihidangkan",6,https://cookpad.com/id/resep/4023374-ikan-tuna-gulai-kuning,ikan,ikan tuna gulai kuning,19,"['ikan tuna', 'ibu jahe', 'ibu lengkuas', 'serei', 'lbr daun', 'lbr daun', 'lbr daun', 'bh cabe', 'buang biji', 'bh cabe', 'bh kentang', 'memanjang', 'ikat kecil', 'bh asam', 'bumbum yang', 'bawang merah', 'bawang putih', 'bh kemiri', 'kunyit', 'atau lbh', 'atau lbh']",7,"['ikan_tuna', 'ibu_jahe', 'ibu_lengkuas', 'serei', 'lbr', 'bh_cabai', 'buang_biji', 'bh_kentang', 'memanjang', 'bh_asam', 'bumbum_yang', 'bawang_merah', 'bawang_putih', 'bh_kemiri', 'kunyit', 'lbh']",ikan_tuna ibu_jahe ibu_lengkuas serei lbr bh_cabai buang_biji bh_kentang memanjang bh_asam bumbum_yang bawang_merah bawang_putih bh_kemiri kunyit lbh
Lele Bumbu Bali,1/2 kg lele--Bumbu yang dihaluskan:--8 bawang merah--6 bawang putih--1 tomat--1 cm lengkuas--2 lembar salam--1 lembar daun jeruk--4 buah cabe merah--3 buah cabe rawit--2 cm jahe--4 kemiri--secukupnya Garam--secukupnya Motto--secukupnya Kaldu bubuk--2 sdm kecap--5 cabe rawit utuh--,"1) Cuci lele n n bersihkan lele lalu keratkan
2) Goreng lele hingga kuning kecoklatan angkat n tiriskan
3) Tumis bumbu yang dihaluskan, masukan garam, motto,gula,aduk rata setelah mendidih tambahkan air n masukkan lele yang sudah digoreng n aduk rata dengan bumbunya tambahkan kecap manis n aduk rata,masukkan tomat yang diiris n cabe rawit utuhan
4) Jika lele sudah matang angkat kedalam mangkok n siap disajikan
5) Selamat mencoba",18,https://cookpad.com/id/resep/4022752-lele-bumbu-bali,ikan,lele bumbu bali,17,"['lele', 'bumbu yang', 'bawang merah', 'bawang putih', 'tomat', 'cm lengkuas', 'salam', 'daun jeruk', 'cabe merah', 'cabe rawit', 'cm jahe', 'kemiri', 'secukupnya garam', 'secukupnya motto', 'secukupnya kaldu', 'kecap', 'cabe rawit']",5,"['lele', 'bumbu_yang', 'bawang_merah', 'bawang_putih', 'tomat', 'lengkuas', 'salam', 'jeruk', 'cabai_merah', 'cabai_rawit', 'jahe', 'kemiri', 'garam', 'motto', 'kaldu', 'kecap']",lele bumbu_yang bawang_merah bawang_putih tomat lengkuas salam jeruk cabai_merah cabai_rawit jahe kemiri garam motto kaldu kecap
Balado Hijau Asin Gabus,"100 gram asin gabus, potong2 lalu goreng kering--Bumbu halus:--5-6 buah cabe hijau besar--4 buah rawit hijau, atau sesuai selera pedasnya--1 buah tomat hijau--5 siung bawang merah--3 siung bawang putih--2 lembar daun salam--2 lembar daun jeruk, buang tulang daunnya--2 cm lengkuas, geprek--Secukupnya gula, garam--","1) Tumis bumbu halus lalu tumis bersama daun jeruk, salam dan lengkuas. Beri gula garam. Masak hingga bumbu benar2 matang. Kalo saya di kasih air sedikit lalu masak hingga airnya asat.
2) Masukan asin gabus yg sudah di goreng. Aduk rata hingga bumbu meresap.
3) Sajikan.",65,https://cookpad.com/id/resep/4011058-balado-hijau-asin-gabus,ikan,balado hijau asin gabus,11,"['gram asin', 'lalu goreng', 'bumbu halus', 'cabe hijau', 'rawit hijau', 'atau sesuai', 'tomat hijau', 'bawang merah', 'bawang putih', 'daun salam', 'daun jeruk', 'buang tulang', 'cm lengkuas', 'secukupnya gula', 'garam']",3,"['asin', 'lalu', 'bumbu', 'cabai_hijau', 'rawit_hijau', 'tomat_hijau', 'bawang_merah', 'bawang_putih', 'salam', 'jeruk', 'buang_tulang', 'lengkuas', 'gula', 'garam']",asin lalu bumbu cabai_hijau rawit_hijau tomat_hijau bawang_merah bawang_putih salam jeruk buang_tulang lengkuas gula garam
Bawal Bumbu Kencur,1/2 kg ikan bawal--1 buah jeruk nipis--secukupnya Garam--Bumbu halus :--8 siung bawang merah--4 siung bawang putih--4 buah kemiri--3 ruas jari kencur--2 ruas jari jahe--Sejumput terasi--Bumbu lain :--3 lembar daun jeruk--2 lembar daun salam--2 batang serai--sesuai selera Cabe rawit--3/4 bungkus santan kara 65 ml--250 ml air--,"1) Bersihkan ikan bawal, lumuri dgn jerik nipis & garam. Lalu goreng hingga hampir matang.
2) Tumis bumbu halus hingga harum, masukkan air, daun jeruk, daun salam, serai, cabe rawit, santan, gula, & garam.
3) Masak hingga air agak menyusut, koreksi rasa, bila sudah pas bisa langsung dihidangkan.",1,https://cookpad.com/id/resep/4020445-bawal-bumbu-kencur,ikan,bawal bumbu kencur,17,"['ikan bawal', 'jeruk nipis', 'secukupnya garam', 'bumbu halus', 'bawang merah', 'bawang putih', 'kemiri', 'kencur', 'jahe', 'sejumput terasi', 'bumbu lain', 'daun jeruk', 'daun salam', 'serai', 'sesuai selera', 'bungkus santan', 'ml air']",3,"['ikan_bawal', 'jeruk_nipis', 'garam', 'bumbu', 'bawang_merah', 'bawang_putih', 'kemiri', 'kencur', 'jahe', 'sejumput_terasi', 'bumbu_lain', 'jeruk', 'salam', 'serai', 'santan']",ikan_bawal jeruk_nipis garam bumbu bawang_merah bawang_putih kemiri kencur jahe sejumput_terasi bumbu_lain jeruk salam serai santan
Ikan Kembung Banjar,"Ikan kembung banjar 1kg (belah 2,jd kepala dan buntut)--10 Cabe merah--10 Cabe rawit jawa--4 siung Bawang putih--3 siung Bawang merah--Laos setengah ruas iris kecil--Jahe 1 ruas iris kecil--3 lmbr Salam--Daun jeruk--Bumbu racik ikan/air garam saja--","1) Ungkep ikan dgn bumbu racik ikan atau bs dgn garam dan air saja dgn cara dilumuri smp 10mnt
2) Haluskan cabai dan bawang
3) Goreng kering ikan yg sdh d ungkep
4) Tumis bumbu yg sdh d haluskan hingga wangi dgn api kecil,tambahkan air
5) Masukan salam dan daun jeruk, tambahkan air
6) Tambahkan gula garam dan kaldu bubuk secukupnya.tes rasa
7) Masukan ikan masak hingga air sisa sedikit.",9,https://cookpad.com/id/resep/4022867-ikan-kembung-banjar,ikan,ikan kembung banjar,10,"['ikan kembung', 'jd kepala', 'cabe merah', 'cabe rawit', 'bawang putih', 'bawang merah', 'laos setengah', 'jahe iris', 'lmbr salam', 'daun jeruk', 'bumbu racik']",7,"['ikan_kembung', 'jd_kepala', 'cabai_merah', 'cabai_rawit', 'bawang_putih', 'bawang_merah', 'laos_setengah', 'jahe', 'lmbr_salam', 'jeruk', 'bumbu_racik']",ikan_kembung jd_kepala cabai_merah cabai_rawit bawang_putih bawang_merah laos_setengah jahe lmbr_salam jeruk bumbu_racik
Tumis Brokoli Tahu Dan Tuna Untuk Diet,1 buah brokoli--150 gr tahu--150 gr tuna--3 buah bawang merah--2 buah bawang putih--5 buah cabai keriting--Laos--Merica bubuk--,"1) Potong brokoli dan rendam di air garam
2) Potong dadu tahu dan tuna
3) Iris semua bumbu kemudian tumis dengan 1/2sdm minyak goreng
4) Masukkan tuna dan brokoli
5) Masak sampai matang kemudian masukkab tahu
6) Terakhir masukkan merica, karna saya sedang diet jd perasa yg di gunakan hanya merica tanpa garam atau penyedap lain",10,https://cookpad.com/id/resep/3826738-tumis-brokoli-tahu-dan-tuna-untuk-diet,ikan,tumis brokoli tahu dan tuna untuk,8,"['brokoli', 'tahu', 'tuna', 'bawang merah', 'bawang putih', 'cabai keriting', 'laos', 'merica bubuk']",6,"['brokoli', 'tahu', 'tuna', 'bawang_merah', 'bawang_putih', 'cabai_keriting', 'laos', 'merica']",brokoli tahu tuna bawang_merah bawang_putih cabai_keriting laos merica
Gulai Ikan Patin,1 ekor ikan patin potong sesuai selera--2 buah wortel di serut--daun jeruk--daun salam--serai--1 bks santan kara--secukupnya air--Gula Garam dan masako--jeruk nipis--1 buah tomat potong jadi 8--cabe merah dan hijau potong serong--secukupnya minyak--bumbu halus*--4 siung bawang putih--6 siung bawang merah--1 sdm kemiri--1 ruas kunyit--cabe rawit(opsional bisa skip)--jahe--,"1) Bersihkan ikan patin, baluri dengan perasan air jeruk nipis dan garam diamkan sebentar,
2) Haluskan semua bumbu halus dengan sedikit minyak ya moms bukan air, biar cepet mateng waktu di tumis
3) Panaskan minyak di wajan tumis bumbu halus sampai wangi dan berubah warna, tambahkan daun salam, daun jeruk dan serai, jika sudah tambahkan air secukupnya aduk rata
4) Masukkan wortel yg di serut dan ikan patin nya. diamkan sejenak hingga mendidih dan ikan patin berubah tekstur, sesekali di aduk agar bumbu meresap rata
5) Tambahkan Gula Garam dan sedikit masako aduk* test rasa jika sudah pas masukkan santan kara,tomat dan cabe merah juga hijau, aduk biar rata santannya. tunggu hingga mendidih lalu matikan. siap di sajikan",32,https://cookpad.com/id/resep/4021902-gulai-ikan-patin,ikan,gulai ikan patin,19,"['ekor ikan', 'wortel di', 'daun jeruk', 'daun salam', 'serai', 'bks santan', 'secukupnya air', 'gula garam', 'jeruk nipis', 'tomat jadi', 'cabe merah', 'secukupnya minyak', 'bumbu halus', 'bawang putih', 'bawang merah', 'kemiri', 'kunyit', 'cabe rawitopsional', 'jahe']",5,"['ikan', 'wortel_di', 'jeruk', 'salam', 'serai', 'santan', 'gula_garam', 'jeruk_nipis', 'tomat_jadi', 'cabai_merah', 'minyak', 'bumbu', 'bawang_putih', 'bawang_merah', 'kemiri', 'kunyit', 'cabai_rawitopsional', 'jahe']",ikan wortel_di jeruk salam serai santan gula_garam jeruk_nipis tomat_jadi cabai_merah minyak bumbu bawang_putih bawang_merah kemiri kunyit cabai_rawitopsional jahe
Tongkol Suwir Sambal Bawang,"500 gr ikan tongkol--1 bh jeruk nipis--Secukupnya minyak goreng--Bahan sambal:--12 cabe rawit--3 siung bawang merah--3 siung bawang putih--Garam, gula--Kaldu bubuk (optional)--","1) Cuci bersih ikan, lumuri dengan perasan jeruk nipis. Panaskan minyak, goreng ikan sampai matang. Tunggu agak dingin, lalu suwir-suwir.
2) Haluskan bawang putih dan bawang merah, tambahkan cabe rawit cukup tumbuk kasar saja. Panaskan minyak goreng, siram ke dalam sambal.
3) Campur suwiran tongkol dan sambal, aduk rata. Sajikan",23,https://cookpad.com/id/resep/4021499-tongkol-suwir-sambal-bawang,ikan,tongkol suwir sambal bawang,9,"['ikan tongkol', 'bh jeruk', 'secukupnya minyak', 'bahan sambal', 'cabe rawit', 'bawang merah', 'bawang putih', 'garam', 'gula', 'kaldu bubuk']",3,"['ikan_tongkol', 'bh_jeruk', 'minyak', 'cabai_rawit', 'bawang_merah', 'bawang_putih', 'garam', 'gula', 'kaldu']",ikan_tongkol bh_jeruk minyak cabai_rawit bawang_merah bawang_putih garam gula kaldu
Ikan Nila Kuah Bening,400 gr Ikan Nila (bagi 2)--3 Siung bawang merah--2 Siung bawang putih--10 bh cabe hijau (boleh ditambah kalo suka pedes)--1 lbr daun salam--1 sdm air lemon--secukupnya Garam--secukupnya Lada--secukupnya Gula pasir--200 ml air--,"1) Iris halus bawang merah, bawang putih & cabe hijau
2) Masak air sampe mendidih, kemudian masukkan bumbu iris, daun salam dan air lemon
3) Masukkan ikan nila, tunggu sebentar lalu tambahkan garam, merica dan gula secukupnya.
4) Koreksi rasa dan tungu sampai matang
5) Selesai",3,https://cookpad.com/id/resep/4021370-ikan-nila-kuah-bening,ikan,ikan nila kuah bening,10,"['ikan nila', 'bawang merah', 'bawang putih', 'bh cabe', 'lbr daun', 'air lemon', 'secukupnya garam', 'secukupnya lada', 'secukupnya gula', 'ml air']",5,"['ikan_nila', 'bawang_merah', 'bawang_putih', 'bh_cabai', 'lbr', 'lemon', 'garam', 'lada', 'gula']",ikan_nila bawang_merah bawang_putih bh_cabai lbr lemon garam lada gula
Sambal Ikan Tongkol,2 besek ikan tongkol--10 cabe rawit--5 cabe merah--3 butir tomat--5 siung bawang putih--6 siung bawang merah--1 sdm gula jawa--1 sdt garam--1 sdt penyedap rasa (bila suka)--2 lembar daun jeruk nipis--1 lembar daun salam--1 batang serai--1 iris kecil lengkuas--,"1) Goreng ikan tongkol lalu tiriskan.
2) Goreng juga bahan pembuat sambal (cabe, bawang merah, bawang putih, tomat)
3) Uleg sambal sampai halus dan tumis dengan sedikit minyak bekas menggoreng ikan tadi.
4) Tambahkan daun jeruk, daun salam, lengkuas, dan serai. Masukkan garam, gula merah, dan penyedap rasa
5) Jika sudah dirasa pas, masukkan ikan tongkol yang sudah digoreng tadi.
6) Aduk sampai sambal tercampur ikan, dan siap disajikan.",8,https://cookpad.com/id/resep/4021279-sambal-ikan-tongkol,ikan,sambal ikan tongkol,13,"['besek ikan', 'cabe rawit', 'cabe merah', 'tomat', 'bawang putih', 'bawang merah', 'gula jawa', 'garam', 'penyedap rasa', 'daun jeruk', 'daun salam', 'serai', 'iris kecil']",6,"['besek_ikan', 'cabai_rawit', 'cabai_merah', 'tomat', 'bawang_putih', 'bawang_merah', 'gula_jawa', 'garam', 'jeruk', 'salam', 'serai']",besek_ikan cabai_rawit cabai_merah tomat bawang_putih bawang_merah gula_jawa garam jeruk salam serai
Sambel Bandeng Presto By Sii Trias💓,1 ekor ikan bandeng presto--2 sdm minyak goreng--50 ml air--Bumbu:--1 siung bawang putih--1 siung bawang merah--1 buah tomat--3 sdm saos tomat--1 sdm kecap manis--sesuai selera Cabe rawit--Secukupnya garam--Secukupnya penyedap(bisa skip)--,"1) Ambil 1ikan bandeng presto.(bisa diganti ikan lain selain bandeng)
2) Haluskan semua bahan bumbu. Kalau saya diblender,,diulek juga bisa.
3) Tumis bumbu halus sampai harum,,tambah air 50ml. Tunggu sampai bumbu meletup2.
4) Masukan bandeng presto,,diamkan 2menit,angkat,sajikan dengan nasi hangat.
5) Note: resep ini untuk 1porsi,,bila masak dalam jumlah besar tinggal sesuaikan takaran bumbunya ya bund..",7,https://cookpad.com/id/resep/4020862-sambel-bandeng-presto-by-sii-trias%F0%9F%92%93,ikan,sambel bandeng,12,"['ekor ikan', 'minyak goreng', 'ml air', 'bumbu', 'bawang putih', 'bawang merah', 'tomat', 'saos tomat', 'kecap manis', 'sesuai selera', 'secukupnya garam', 'secukupnya penyedapbisa']",5,"['ikan', 'minyak', 'bumbu', 'bawang_putih', 'bawang_merah', 'tomat', 'saus_tomat', 'kecap_manis', 'garam', 'penyedapbisa']",ikan minyak bumbu bawang_putih bawang_merah tomat saus_tomat kecap_manis garam penyedapbisa
Gurame Bakar Manis,1 ekor gurame--3 sdm kecap manis--2 sdm mentega--1 sdm gula merah--1 sdt garam--Bahan yang dihaluskan:--10 bawang merah--7 bawang putih--5 butir kemiri--,"1) Cuci bersih ikan, lumuri dengan air jeruk nipis dan garam diamkan 15 menit
2) Tumis bumbu halus hingga harum dan matang, angkat dan dinginkan lalu lumuri ikan dengan sebagian bumbu hingga rata
3) Campur sisa bumbu dengan mentega,gula dan kecap manis aduk rata
4) Olesi ikan yang akan dibakar dengan sisa bumbu hingga matang merata
5) Cek rasa, sajikan dengan sambal dan irisan jeruk nipis",13,https://cookpad.com/id/resep/4021134-gurame-bakar-manis,ikan,gurame bakar manis,9,"['ekor gurame', 'kecap manis', 'mentega', 'gula merah', 'garam', 'bahan yang', 'bawang merah', 'bawang putih', 'kemiri']",5,"['gurame', 'kecap_manis', 'mentega', 'gula_merah', 'garam', 'bahan_yang', 'bawang_merah', 'bawang_putih', 'kemiri']",gurame kecap_manis mentega gula_merah garam bahan_yang bawang_merah bawang_putih kemiri
Sambal Ikan Roa,200 gr daging ikan roa yg sdh diblender agak halus--8 buah tomat diiris2--Bumbu halus:--150 gr cabe rawit(sesuai selera)--150 gr bawang merah--5 diung bawang putih--,"1) Tumis bumbu halus sampai wangi.masukkan tomat iris
2) Masak sampai benar2 hancur tomatnya,beri gula/penyedap dan garam.
3) Masukkan ikan roa halus,aduk rata.klu minyaknya kurang bisa ditambahkan sdkt krn ikannya akan menghisap minyak.
4) Aduk terus kurang lebih 15 mnt.angkat
5) Klu ingin disimpan agak lama,tomat bisa diskip.simpan dlm toples bersih dan kering",8,https://cookpad.com/id/resep/4020658-sambal-ikan-roa,ikan,sambal ikan roa,6,"['daging ikan', 'tomat diiris', 'bumbu halus', 'cabe rawitsesuai', 'bawang merah', 'diung bawang']",5,"['daging_ikan', 'tomat_diiris', 'bumbu', 'cabai_rawitsesuai', 'bawang_merah', 'diung_bawang']",daging_ikan tomat_diiris bumbu cabai_rawitsesuai bawang_merah diung_bawang
Sop Ikan Nila Seger,4 ekor nila seger--10 biji cabe rawit--3 siung bawang merah--2 siung bawang putih--1 biji asam kandis--Daun seledri n daun bawang secukup nya--2 biji kentang--Penyedap rasa--Minyak untuk menumis bumbu--,"1) Bumbu yg di halus kn
2) Cabe rawit,bawang merah,bawang putih
3) Simpel aja bun..tpi rasa ny mntap",8,https://cookpad.com/id/resep/4020515-sop-ikan-nila-seger,ikan,sop ikan nila seger,9,"['ekor nila', 'biji cabe', 'bawang merah', 'bawang putih', 'biji asam', 'daun seledri', 'biji kentang', 'penyedap rasa', 'minyak untuk']",3,"['nila', 'biji_cabai', 'bawang_merah', 'bawang_putih', 'biji_asam', 'seledri', 'biji_kentang', 'minyak']",nila biji_cabai bawang_merah bawang_putih biji_asam seledri biji_kentang minyak
Brengkes/Pepes Pindang Tongkol/Salem,2 keranjang tongkol (di belah ya)--Pelengkap:--Secukupnya  Daun kemangi--secukupnya Blimbing wuluh--Daun pisang--Tusuk gigi--Bumbu halus:--10 siung bawang merah--6 siung bawang putih--5 buah cabe besar (bisa ditambah klo suka lebih kelihatan merah)--10 buah cabe rawit (bisa tambah ato skip klo gk suka pedes)--6 buah kemiri--1 buah tomat besar--secukupnya Ketumbar--2 sdm gula--1 sdt garam--Penyedap rasa--,"1) Bersihkan ikan pindang dr duri
2) Rebus cabe besar dan tomat (semua buang bijinya) sampai matang, lalu tiriskan haluskan bersama bumbu halus lainya
3) Tes rasa bumbu, campur blimbing wuluh (potong kecil kecil yaa) dan kemangi
4) Dan siap di bungkus dan di kukus kurleb 30 menit",27,https://cookpad.com/id/resep/2013960-brengkespepes-pindang-tongkolsalem,ikan,brengkes pepes pindang tongkol salem,17,"['keranjang tongkol', 'pelengkap', 'secukupnya daun', 'secukupnya blimbing', 'daun pisang', 'tusuk gigi', 'bumbu halus', 'bawang merah', 'bawang putih', 'cabe besar', 'cabe rawit', 'kemiri', 'tomat besar', 'secukupnya ketumbar', 'gula', 'garam', 'penyedap rasa']",4,"['keranjang_tongkol', 'pelengkap', 'blimbing', 'pisang', 'tusuk_gigi', 'bumbu', 'bawang_merah', 'bawang_putih', 'cabai', 'cabai_rawit', 'kemiri', 'tomat', 'ketumbar', 'gula', 'garam']",keranjang_tongkol pelengkap blimbing pisang tusuk_gigi bumbu bawang_merah bawang_putih cabai cabai_rawit kemiri tomat ketumbar gula garam
Bandeng Presto Balado Gravy,4 ekor bandeng presto--4 buah cabe merah keriting--4 cabe merah rawit(selera)--2 siung bawang putih--4 siung bawang merah--2 iris lengkuas--1 batang daun bawang/iris memanjang--1 buah tomat/iris--1 sdm gula pasir--secukupnya garam--penyedap rasa(selera)--1/2 gelas air--minyak untuk menumis--,"1) Goreng bandeng sampai kecoklatan. Setelah itu sisihkan
2) Haluskan semua bumbu (cabenya jangan terlalu halus biar warna baladonya tidak pucat)
3) Tumis bumbu dalam minyak panas lalu tambahkan garam dan gula pasir
4) Masukan irisan tomat, daun bawang dan air
5) Terakhir masukan bandeng penyedap dan tunggu sampai meresap.
Dan...
Taraaaa siap tuk dihidangkan",3,https://cookpad.com/id/resep/2934076-bandeng-presto-balado-gravy,ikan,bandeng balado gravy,13,"['ekor bandeng', 'cabe merah', 'cabe merah', 'bawang putih', 'bawang merah', 'iris lengkuas', 'daun bawangiris', 'tomatiris', 'gula pasir', 'secukupnya garam', 'penyedap rasaselera', 'gelas air', 'minyak untuk']",5,"['bandeng', 'cabai_merah', 'bawang_putih', 'bawang_merah', 'lengkuas', 'bawangiris', 'tomatiris', 'gula_pasir', 'garam', 'penyedap_rasaselera', 'minyak']",bandeng cabai_merah bawang_putih bawang_merah lengkuas bawangiris tomatiris gula_pasir garam penyedap_rasaselera minyak
Gurame Asem Manis Pedas,1 ekor ikan gurame uk sedang--1 bh Jeruk nipis kuning--Wortel 2 bh potong kotak--secukupnya Tepung terigu--Tepung maizena--Minyak goreng--1 bh Putih telur--Bahan saus:--4 bh Bawang putih--4 bh Bawang merah--1 bh Bawang bombay--3 bh Tomat pilih yg matang--3 sdm Saus tomat--secukupnya Gula pasir--secukupnya Garam--Air mendidih--5 bh Cabe merah kriting--,"1) Cuci bersih ikan gurame bersihkan dari insang dan siripnha,potong sesuai selera.....marinasi dengan jeruk nipis selama sejam.
2) Siapkan tepung terigu campur maizena perbandingan 3:1, celuo di putih telur lalu balur ikan di tepung kemudian goreng dengan api sedang, tiriskan
3) Iris halus bawang putih, merah, iris kasar bawang bombay, iris cabe merah, wortel yg telah dipotong kotak rebus setengah matang, sisihkan
4) Tumis bawang putih, merah, bombay sampai layu kemudian tomat sampai layu, kemudian beri air secukupnya, masukkan wortel, garam, gula, aduk rata sampai mendidih dan tercampur rata, koreksi rasa
5) Susun ikan yg sudah digoreng tepung di piring saji, tuang saus diatasnya siap dinikmati",6,https://cookpad.com/id/resep/4020520-gurame-asem-manis-pedas,ikan,gurame asem manis pedas,17,"['ekor ikan', 'bh jeruk', 'wortel bh', 'secukupnya tepung', 'tepung maizena', 'minyak goreng', 'bh putih', 'bahan saus', 'bh bawang', 'bh bawang', 'bh bawang', 'bh tomat', 'saus tomat', 'secukupnya gula', 'secukupnya garam', 'air mendidih', 'bh cabe']",5,"['ikan', 'bh_jeruk', 'wortel_bh', 'tepung', 'tepung_maizena', 'minyak', 'bh_putih', 'bahan_saus', 'bh_bawang', 'bh_tomat', 'saus_tomat', 'gula', 'garam', 'mendidih', 'bh_cabai']",ikan bh_jeruk wortel_bh tepung tepung_maizena minyak bh_putih bahan_saus bh_bawang bh_tomat saus_tomat gula garam mendidih bh_cabai
